"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试用户注册失败","2223","注册失败","testcase","Sun Jun 29 18:24:37 CST 2025","passed","Sun Jun 29 18:24:39 CST 2025","TestSignup","test_signup","",""
"测试预设用户信息显示","887","test_existing_users_info[existing_user_clark]","testcase","Sun Jun 29 18:23:09 CST 2025","passed","Sun Jun 29 18:23:10 CST 2025","TestMyPageParameterized","test_mypage","",""
"测试已登录时从注册页面重定向到首页","1030","已登录时注册页面应该重定向到首页","testcase","Sun Jun 29 18:23:39 CST 2025","passed","Sun Jun 29 18:23:40 CST 2025","TestRedirection","test_redirection","",""
"测试图标设置功能","839","test_icon_settings[icon_over_size]","testcase","Sun Jun 29 18:23:16 CST 2025","passed","Sun Jun 29 18:23:17 CST 2025","TestMyPageParameterized","test_mypage","",""
"测试用户登录失败","217","test_login_failure[sql_injection_comment_bypass]","testcase","Sun Jun 29 18:22:56 CST 2025","passed","Sun Jun 29 18:22:56 CST 2025","TestLogin","test_login","",""
"测试用户注册失败","1835","注册失败","testcase","Sun Jun 29 18:24:35 CST 2025","passed","Sun Jun 29 18:24:37 CST 2025","TestSignup","test_signup","",""
"测试用户登录失败","351","test_login_failure[sql_injection_password_field]","testcase","Sun Jun 29 18:22:56 CST 2025","passed","Sun Jun 29 18:22:57 CST 2025","TestLogin","test_login","",""
"测试输入验证","1547","输入验证测试","testcase","Sun Jun 29 18:23:53 CST 2025","passed","Sun Jun 29 18:23:55 CST 2025","TestReserveParameterized","test_reserve","",""
"测试提交验证","1471","提交验证测试","testcase","Sun Jun 29 18:24:00 CST 2025","passed","Sun Jun 29 18:24:01 CST 2025","TestReserveParameterized","test_reserve","",""
"测试图标设置功能","1673","test_icon_settings[icon_not_image]","testcase","Sun Jun 29 18:23:15 CST 2025","passed","Sun Jun 29 18:23:16 CST 2025","TestMyPageParameterized","test_mypage","",""
"测试用户注册失败","2342","注册失败","testcase","Sun Jun 29 18:24:28 CST 2025","passed","Sun Jun 29 18:24:30 CST 2025","TestSignup","test_signup","",""
"测试用户登录失败","420","test_login_failure[sql_injection_hex_encoding]","testcase","Sun Jun 29 18:22:58 CST 2025","passed","Sun Jun 29 18:22:58 CST 2025","TestLogin","test_login","",""
"测试访问不存在的方案ID 100时重定向","1003","无效方案ID时预订页面应该重定向到首页[1]","testcase","Sun Jun 29 18:23:40 CST 2025","passed","Sun Jun 29 18:23:41 CST 2025","TestRedirection","test_redirection","",""
"测试用户注册失败","2259","注册失败","testcase","Sun Jun 29 18:24:43 CST 2025","passed","Sun Jun 29 18:24:45 CST 2025","TestSignup","test_signup","",""
"测试用户登录失败","212","test_login_failure[sql_injection_double_quotes]","testcase","Sun Jun 29 18:22:59 CST 2025","passed","Sun Jun 29 18:22:59 CST 2025","TestLogin","test_login","",""
"测试输入验证","1539","输入验证测试","testcase","Sun Jun 29 18:23:55 CST 2025","passed","Sun Jun 29 18:23:56 CST 2025","TestReserveParameterized","test_reserve","",""
"测试页面初始值显示","1766","页面初始值验证","testcase","Sun Jun 29 18:23:49 CST 2025","passed","Sun Jun 29 18:23:51 CST 2025","TestReserveParameterized","test_reserve","",""
"测试预设用户信息显示","764","test_existing_users_info[existing_user_ororo]","testcase","Sun Jun 29 18:23:11 CST 2025","passed","Sun Jun 29 18:23:12 CST 2025","TestMyPageParameterized","test_mypage","",""
"测试预订成功","3307","预订成功测试","testcase","Sun Jun 29 18:24:03 CST 2025","passed","Sun Jun 29 18:24:06 CST 2025","TestReserveParameterized","test_reserve","",""
"测试用户删除功能","1145","test_delete_user[delete_new_user]","testcase","Sun Jun 29 18:23:18 CST 2025","passed","Sun Jun 29 18:23:20 CST 2025","TestMyPageParameterized","test_mypage","",""
"测试用户注册失败","1739","注册失败","testcase","Sun Jun 29 18:24:45 CST 2025","passed","Sun Jun 29 18:24:47 CST 2025","TestSignup","test_signup","",""
"测试用户成功注册","3132","注册成功","testcase","Sun Jun 29 18:24:14 CST 2025","passed","Sun Jun 29 18:24:17 CST 2025","TestSignup","test_signup","",""
"测试普通会员尝试访问高级会员专属方案时重定向","886","普通用户访问高级会员方案时应该重定向到首页","testcase","Sun Jun 29 18:23:43 CST 2025","passed","Sun Jun 29 18:23:44 CST 2025","TestRedirection","test_redirection","",""
"测试用户注册失败","2039","注册失败","testcase","Sun Jun 29 18:24:24 CST 2025","passed","Sun Jun 29 18:24:26 CST 2025","TestSignup","test_signup","",""
"测试未登录用户尝试访问会员专属方案时重定向","633","未登录用户访问会员方案时应该重定向到首页","testcase","Sun Jun 29 18:23:41 CST 2025","passed","Sun Jun 29 18:23:42 CST 2025","TestRedirection","test_redirection","",""
"测试输入验证","1492","输入验证测试","testcase","Sun Jun 29 18:23:58 CST 2025","passed","Sun Jun 29 18:24:00 CST 2025","TestReserveParameterized","test_reserve","",""
"测试已登录时从登录页面重定向到首页","1318","已登录时登录页面应该重定向到首页","testcase","Sun Jun 29 18:23:38 CST 2025","passed","Sun Jun 29 18:23:39 CST 2025","TestRedirection","test_redirection","",""
"测试用户登录失败","231","test_login_failure[empty_password_only]","testcase","Sun Jun 29 18:22:55 CST 2025","passed","Sun Jun 29 18:22:55 CST 2025","TestLogin","test_login","",""
"测试用户登录失败","585","test_login_failure[sql_injection_special_chars]","testcase","Sun Jun 29 18:22:58 CST 2025","passed","Sun Jun 29 18:22:59 CST 2025","TestLogin","test_login","",""
"测试访问无效格式方案ID时重定向","161","无效方案ID时预订页面应该重定向到首页[2]","testcase","Sun Jun 29 18:23:41 CST 2025","passed","Sun Jun 29 18:23:41 CST 2025","TestRedirection","test_redirection","",""
"测试用户登录失败","411","test_login_failure[sql_injection_union_attack]","testcase","Sun Jun 29 18:22:56 CST 2025","passed","Sun Jun 29 18:22:56 CST 2025","TestLogin","test_login","",""
"测试访问预订页面没有方案ID参数时重定向","220","无效方案ID时预订页面应该重定向到首页[3]","testcase","Sun Jun 29 18:23:41 CST 2025","passed","Sun Jun 29 18:23:41 CST 2025","TestRedirection","test_redirection","",""
"测试图标设置功能","962","test_icon_settings[icon_success]","testcase","Sun Jun 29 18:23:17 CST 2025","failed","Sun Jun 29 18:23:18 CST 2025","TestMyPageParameterized","test_mypage","",""
"测试未登录时方案列表显示","2357","未登录时应该显示方案列表","testcase","Sun Jun 29 18:23:23 CST 2025","passed","Sun Jun 29 18:23:26 CST 2025","TestPlans","test_plans","",""
"测试直接访问确认页面而没有正确流程时重定向","282","直接访问确认页面时应该重定向到首页","testcase","Sun Jun 29 18:23:44 CST 2025","passed","Sun Jun 29 18:23:44 CST 2025","TestRedirection","test_redirection","",""
"测试用户登录失败","182","test_login_failure[empty_email_only]","testcase","Sun Jun 29 18:22:55 CST 2025","passed","Sun Jun 29 18:22:55 CST 2025","TestLogin","test_login","",""
"测试未登录时从个人页面重定向到首页","1374","未登录时个人页面应该重定向到首页","testcase","Sun Jun 29 18:23:36 CST 2025","passed","Sun Jun 29 18:23:38 CST 2025","TestRedirection","test_redirection","",""
"测试高级会员登录时方案列表显示","991","高级会员登录时应该显示方案列表","testcase","Sun Jun 29 18:23:27 CST 2025","passed","Sun Jun 29 18:23:28 CST 2025","TestPlans","test_plans","",""
"测试预设用户信息显示","840","test_existing_users_info[existing_user_diana]","testcase","Sun Jun 29 18:23:10 CST 2025","passed","Sun Jun 29 18:23:11 CST 2025","TestMyPageParameterized","test_mypage","",""
"测试用户登录失败","201","test_login_failure[empty_credentials]","testcase","Sun Jun 29 18:22:54 CST 2025","passed","Sun Jun 29 18:22:54 CST 2025","TestLogin","test_login","",""
"测试用户登录失败","212","test_login_failure[sql_injection_classic_or]","testcase","Sun Jun 29 18:22:55 CST 2025","passed","Sun Jun 29 18:22:56 CST 2025","TestLogin","test_login","",""
"测试未登录用户尝试访问高级会员专属方案时重定向","722","未登录用户访问高级会员方案时应该重定向到首页","testcase","Sun Jun 29 18:23:42 CST 2025","passed","Sun Jun 29 18:23:43 CST 2025","TestRedirection","test_redirection","",""
"测试用户成功注册","2156","注册成功","testcase","Sun Jun 29 18:24:21 CST 2025","passed","Sun Jun 29 18:24:24 CST 2025","TestSignup","test_signup","",""
"测试用户成功登录","2809","test_login_success[valid_user_clark]","testcase","Sun Jun 29 18:22:51 CST 2025","passed","Sun Jun 29 18:22:54 CST 2025","TestLogin","test_login","",""
"测试用户登录失败","273","test_login_failure[sql_injection_boolean_based]","testcase","Sun Jun 29 18:22:57 CST 2025","passed","Sun Jun 29 18:22:58 CST 2025","TestLogin","test_login","",""
"测试预设用户信息显示","843","test_existing_users_info[existing_user_miles]","testcase","Sun Jun 29 18:23:12 CST 2025","passed","Sun Jun 29 18:23:13 CST 2025","TestMyPageParameterized","test_mypage","",""
"测试页面初始值显示","2492","页面初始值验证","testcase","Sun Jun 29 18:23:51 CST 2025","passed","Sun Jun 29 18:23:53 CST 2025","TestReserveParameterized","test_reserve","",""
"测试用户登录失败","810","test_login_failure[sql_injection_time_based]","testcase","Sun Jun 29 18:22:57 CST 2025","passed","Sun Jun 29 18:22:57 CST 2025","TestLogin","test_login","",""
"测试用户成功注册","633","注册成功","testcase","Sun Jun 29 18:24:18 CST 2025","passed","Sun Jun 29 18:24:19 CST 2025","TestSignup","test_signup","",""
"测试用户注册失败","1980","注册失败","testcase","Sun Jun 29 18:24:33 CST 2025","passed","Sun Jun 29 18:24:35 CST 2025","TestSignup","test_signup","",""
"测试用户登录失败","429","test_login_failure[sql_injection_nested_query]","testcase","Sun Jun 29 18:22:59 CST 2025","passed","Sun Jun 29 18:23:00 CST 2025","TestLogin","test_login","",""
"测试提交验证","1506","提交验证测试","testcase","Sun Jun 29 18:24:01 CST 2025","passed","Sun Jun 29 18:24:03 CST 2025","TestReserveParameterized","test_reserve","",""
"测试输入验证","1536","输入验证测试","testcase","Sun Jun 29 18:23:57 CST 2025","passed","Sun Jun 29 18:23:58 CST 2025","TestReserveParameterized","test_reserve","",""
"测试用户成功注册","977","注册成功","testcase","Sun Jun 29 18:24:17 CST 2025","passed","Sun Jun 29 18:24:18 CST 2025","TestSignup","test_signup","",""
"测试用户成功注册","2391","注册成功","testcase","Sun Jun 29 18:24:19 CST 2025","passed","Sun Jun 29 18:24:21 CST 2025","TestSignup","test_signup","",""
"测试用户登录失败","635","test_login_failure[sql_injection_both_fields]","testcase","Sun Jun 29 18:23:00 CST 2025","passed","Sun Jun 29 18:23:00 CST 2025","TestLogin","test_login","",""
"测试普通会员登录时方案列表显示","1654","普通会员登录时应该显示方案列表","testcase","Sun Jun 29 18:23:26 CST 2025","passed","Sun Jun 29 18:23:27 CST 2025","TestPlans","test_plans","",""
"测试用户登录失败","221","test_login_failure[invalid_credentials]","testcase","Sun Jun 29 18:22:54 CST 2025","passed","Sun Jun 29 18:22:55 CST 2025","TestLogin","test_login","",""
"测试预订成功","4235","预订成功测试","testcase","Sun Jun 29 18:24:06 CST 2025","passed","Sun Jun 29 18:24:10 CST 2025","TestReserveParameterized","test_reserve","",""
"测试用户注册失败","2373","注册失败","testcase","Sun Jun 29 18:24:30 CST 2025","passed","Sun Jun 29 18:24:33 CST 2025","TestSignup","test_signup","",""
"测试用户登录失败","220","test_login_failure[invalid_email_format]","testcase","Sun Jun 29 18:22:55 CST 2025","passed","Sun Jun 29 18:22:55 CST 2025","TestLogin","test_login","",""
"测试用户注册失败","2254","注册失败","testcase","Sun Jun 29 18:24:26 CST 2025","passed","Sun Jun 29 18:24:28 CST 2025","TestSignup","test_signup","",""
"测试用户登录失败","207","test_login_failure[sql_injection_stacked_queries]","testcase","Sun Jun 29 18:22:58 CST 2025","passed","Sun Jun 29 18:22:58 CST 2025","TestLogin","test_login","",""
"测试用户注册失败","2211","注册失败","testcase","Sun Jun 29 18:24:41 CST 2025","passed","Sun Jun 29 18:24:43 CST 2025","TestSignup","test_signup","",""
"测试用户注册失败","1862","注册失败","testcase","Sun Jun 29 18:24:39 CST 2025","passed","Sun Jun 29 18:24:41 CST 2025","TestSignup","test_signup","",""
"测试新用户注册后信息显示","1836","test_new_user_info[new_user_signup]","testcase","Sun Jun 29 18:23:13 CST 2025","passed","Sun Jun 29 18:23:15 CST 2025","TestMyPageParameterized","test_mypage","",""
